iter	Passed	Remaining
912	8275	788
913	8283	779
914	8293	770
915	8302	761
916	8310	752
917	8319	743
918	8328	734
919	8337	725
920	8346	715
921	8355	706
922	8363	697
923	8372	688
924	8380	679
925	8390	670
926	8398	661
927	8407	652
928	8416	643
929	8425	634
930	8434	625
931	8443	616
932	8452	606
933	8460	597
934	8469	588
935	8479	579
936	8487	570
937	8496	561
938	8505	552
939	8514	543
940	8523	534
941	8532	525
942	8540	516
943	8549	507
944	8558	498
945	8567	489
946	8576	479
947	8584	470
948	8594	461
949	8603	452
950	8611	443
951	8620	434
952	8629	425
953	8638	416
954	8647	407
955	8655	398
956	8664	389
957	8673	380
958	8682	371
959	8690	362
960	8699	353
961	8708	344
962	8717	334
963	8726	325
964	8736	316
965	8744	307
966	8753	298
967	8762	289
968	8771	280
969	8780	271
970	8789	262
971	8798	253
972	8808	244
973	8817	235
974	8826	226
975	8834	217
976	8843	208
977	8852	199
978	8861	190
979	8869	181
980	8878	171
981	8887	162
982	8896	153
983	8904	144
984	8914	135
985	8923	126
986	8931	117
987	8940	108
988	8949	99
989	8958	90
990	8966	81
991	8975	72
992	8984	63
993	8993	54
994	9002	45
995	9010	36
996	9020	27
997	9029	18
998	9037	9
999	9046	0
